id	theme	file	title	tags	cpts	params
fdopamp1	05_opamps	sch/05_opamps/fdopamp1__1.sch	Fdopamp1	cpt:e, curricular:tcii, grilla, opamp	e	help_lines,right
fdopamp2	05_opamps	sch/05_opamps/fdopamp2.sch	Fdopamp2	cpt:e, curricular:tcii, grilla, opamp	e	help_lines,right
fdopamp3	05_opamps	sch/05_opamps/fdopamp3.sch	Fdopamp3	cpt:e, cpt:p, cpt:r, cpt:w, curricular:tcii, opamp, visibilidad-nodos	e,p,r,w	down,draw_nodes,right
fdopamp4	05_opamps	sch/05_opamps/fdopamp4.sch	Fdopamp4	cpt:e, cpt:r, cpt:w, curricular:tcii, geometria-global, grilla, opamp	e,r,w	down,help_lines,left,right,scale,up
fdopampright	05_opamps	sch/05_opamps/fdopampright.sch	Fdopampright	cpt:e, curricular:tcii, opamp	e	right
fdopamps	05_opamps	sch/05_opamps/fdopamps.sch	Fdopamps	cpt:e, cpt:o, curricular:tcii, espejo, opamp, pines, visibilidad-nodos	e,o	label_nodes,mirror,pinnames,pinnodes,right
inamp-amplifier1	05_opamps	sch/05_opamps/inamp-amplifier1.sch	Inamp amplifier1	cpt:e, cpt:r, cpt:v, cpt:w, curricular:tcii, etiqueta, geometria-global, opamp, tierra, visibilidad-nodos	e,r,v,w	0V,down,draw_nodes,l,right,scale
inamp1	05_opamps	sch/05_opamps/inamp1.sch	Inamp1	cpt:e, cpt:r, cpt:w, curricular:tcii, etiqueta, geometria-global, opamp, tierra, visibilidad-nodos	e,r,w	0V,down,draw_nodes,l,right,scale
inamp1	05_opamps	sch/05_opamps/inamp1__1.sch	Inamp1	cpt:e, curricular:tcii, grilla, opamp	e	help_lines,right
integrator	05_opamps	sch/05_opamps/integrator.sch	Integrator	cpt:c, cpt:e, cpt:p, cpt:r, cpt:v, cpt:w, curricular:tcii, espejo, etiquetas-globales, opamp, visibilidad-nodos	c,e,p,r,v,w	down,draw_nodes,label_ids,label_nodes,mirror,right,up
lpf1-buffer-loaded	05_opamps	sch/05_opamps/lpf1-buffer-loaded.sch	Lpf1 buffer loaded	cpt:c, cpt:e, cpt:p, cpt:r, cpt:rel, cpt:v, cpt:w, curricular:tcii, etiqueta, etiqueta-v, opamp, visibilidad-nodos	c,e,p,r,rel,v,w	down,draw_nodes,l,right,size,v
lpf1-buffer-loaded2	05_opamps	sch/05_opamps/lpf1-buffer-loaded2.sch	Lpf1 buffer loaded2	cpt:c, cpt:e, cpt:p, cpt:r, cpt:rel, cpt:v, cpt:w, curricular:tcii, etiqueta, etiqueta-v, opamp, visibilidad-nodos	c,e,p,r,rel,v,w	down,draw_nodes,l,right,size,v
lpf1-buffer-loaded3	05_opamps	sch/05_opamps/lpf1-buffer-loaded3.sch	Lpf1 buffer loaded3	cpt:c, cpt:e, cpt:p, cpt:r, cpt:rel, cpt:v, cpt:w, curricular:tcii, estilo-simbolo, etiqueta, etiqueta-v, opamp	c,e,p,r,rel,v,w	down,l,right,size,style,v
multiple-feedback-lpf	05_opamps	sch/05_opamps/multiple-feedback-lpf.sch	Multiple feedback lpf	cpt:c, cpt:e, cpt:p, cpt:r, cpt:w, curricular:tcii, espejo, etiqueta, etiquetas-globales, geometria-global, opamp, visibilidad-nodos	c,e,p,r,w	down,draw_nodes,l,label_ids,label_nodes,left,mirror,right,scale,size,up
opamp-differential-amplifier1	05_opamps	sch/05_opamps/opamp-differential-amplifier1.sch	Opamp differential amplifier1	cpt:e, cpt:p, cpt:r, cpt:w, curricular:tcii, espejo, opamp, visibilidad-nodos	e,p,r,w	down,draw_nodes,mirror,right
opamp-displacement-current-sensor-noise-model1	05_opamps	sch/05_opamps/opamp-displacement-current-sensor-noise-model1.sch	Opamp displacement current sensor noise model1	cpt:c, cpt:e, cpt:i, cpt:p, cpt:r, cpt:v, cpt:w, curricular:tcii, espejo, opamp, visibilidad-nodos	c,e,i,p,r,v,w	down,draw_nodes,label_nodes,mirror,right,up
opamp-displacement-current-sensor1	05_opamps	sch/05_opamps/opamp-displacement-current-sensor1.sch	Opamp displacement current sensor1	cpt:c, cpt:e, cpt:p, cpt:r, cpt:v, cpt:w, curricular:tcii, espejo, etiqueta-v, opamp, visibilidad-nodos	c,e,p,r,v,w	down,draw_nodes,label_nodes,mirror,right,up,v
opamp-inverting-amplifier	05_opamps	sch/05_opamps/opamp-inverting-amplifier.sch	Opamp inversor	cpt:e, cpt:p, cpt:r, cpt:w, curricular:tcii, espejo, opamp, visibilidad-nodos	e,p,r,w	down,draw_nodes,mirror,right
opamp-inverting-amplifier1	05_opamps	sch/05_opamps/opamp-inverting-amplifier1.sch	Opamp inverting amplifier1	cpt:e, cpt:p, cpt:r, cpt:v, cpt:w, curricular:tcii, espejo, etiquetas-globales, opamp, visibilidad-nodos	e,p,r,v,w	down,draw_nodes,flipud,label_ids,label_nodes,right,up
opamp-inverting-amplifier2	05_opamps	sch/05_opamps/opamp-inverting-amplifier2.sch	Opamp inverting amplifier2	cpt:e, cpt:p, cpt:r, cpt:w, curricular:tcii, espejo, geometria-global, opamp, visibilidad-nodos	e,p,r,w	down,draw_nodes,mirror,right,scale,size
opamp-inverting-amplifier3	05_opamps	sch/05_opamps/opamp-inverting-amplifier3.sch	Opamp inverting amplifier3	cpt:e, cpt:p, cpt:r, cpt:w, curricular:tcii, espejo, geometria-global, opamp, visibilidad-nodos	e,p,r,w	down,draw_nodes,label_nodes,mirror,right,scale,size
opamp-inverting-integrator	05_opamps	sch/05_opamps/opamp-inverting-integrator.sch	Integrador con opamp	cpt:c, cpt:e, cpt:p, cpt:r, cpt:w, curricular:tcii, espejo, opamp	c,e,p,r,w	down,mirror,right
opamp-inverting2	05_opamps	sch/05_opamps/opamp-inverting2.sch	Opamp inverting2	cpt:e, cpt:p, cpt:r, cpt:w, curricular:tcii, espejo, opamp	e,p,r,w	down,mirror,right
